                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.91374,                0.68312,                  1.229,                 0.8706,                0.82205,                0.88311,                0.61655,                 1.0989,                0.70841,                 1.4429,              0.0006304,              0.0006304,              0.0006304
                    114,                0.91462,                0.68429,                 1.2303,                0.88754,                0.79485,                0.90108,                0.62204,                 1.0944,                 0.7182,                 1.4418,              0.0006271,              0.0006271,              0.0006271
                    115,                0.90548,                0.66979,                 1.2302,                0.88336,                0.81781,                0.89774,                0.60673,                 1.1095,                0.71653,                 1.4567,              0.0006238,              0.0006238,              0.0006238
                    116,                0.89098,                0.66204,                 1.2231,                0.89292,                0.80444,                0.89039,                0.61275,                 1.1029,                0.70074,                 1.4446,              0.0006205,              0.0006205,              0.0006205
                    117,                0.89898,                  0.675,                 1.2279,                0.88575,                0.81837,                0.90375,                0.62879,                 1.0882,                0.69004,                 1.4292,              0.0006172,              0.0006172,              0.0006172
                    118,                0.90081,                0.66802,                 1.2286,                0.84748,                0.83038,                0.89187,                0.61389,                 1.1142,                0.72461,                 1.4527,              0.0006139,              0.0006139,              0.0006139
                    119,                0.90058,                0.66228,                 1.2228,                0.88339,                0.80465,                0.88965,                0.61125,                   1.12,                0.71658,                 1.4573,              0.0006106,              0.0006106,              0.0006106
                    120,                0.88342,                0.65945,                 1.2144,                  0.864,                0.79946,                0.88767,                0.62051,                 1.1023,                0.71704,                 1.4389,              0.0006073,              0.0006073,              0.0006073
                    121,                0.88373,                0.65936,                 1.2194,                0.87393,                0.80736,                0.89624,                 0.6234,                 1.0919,                0.69781,                 1.4356,               0.000604,               0.000604,               0.000604
                    122,                0.89365,                0.65899,                 1.2216,                0.86061,                0.82311,                  0.895,                0.61538,                 1.0993,                0.71276,                 1.4337,              0.0006007,              0.0006007,              0.0006007
                    123,                 0.8851,                0.64062,                 1.2172,                0.88406,                0.82693,                0.88791,                0.61274,                 1.1022,                0.72192,                 1.4616,              0.0005974,              0.0005974,              0.0005974
                    124,                 0.8925,                0.65773,                  1.208,                0.88069,                0.81127,                0.89198,                0.62659,                 1.0807,                0.70481,                 1.4424,              0.0005941,              0.0005941,              0.0005941
                    125,                0.87222,                0.63416,                 1.2013,                0.89593,                0.81269,                0.89741,                0.62439,                  1.088,                0.69943,                 1.4463,              0.0005908,              0.0005908,              0.0005908
                    126,                0.87347,                  0.651,                 1.2119,                0.86959,                0.81921,                0.89052,                0.62375,                 1.0951,                0.72336,                 1.4518,              0.0005875,              0.0005875,              0.0005875
                    127,                0.88283,                0.65267,                 1.2076,                0.86651,                0.82577,                0.88975,                0.61469,                 1.1017,                0.72909,                 1.4581,              0.0005842,              0.0005842,              0.0005842
                    128,                0.88787,                0.65171,                 1.2206,                0.88211,                0.81355,                0.89426,                0.61663,                 1.1144,                0.74135,                 1.4661,              0.0005809,              0.0005809,              0.0005809
                    129,                0.88166,                0.63772,                 1.2105,                0.87909,                0.82098,                 0.8925,                0.62056,                 1.1007,                0.72382,                 1.4641,              0.0005776,              0.0005776,              0.0005776
                    130,                 0.8767,                0.64125,                 1.2091,                 0.8716,                0.82659,                0.89465,                0.61871,                 1.0978,                0.71809,                 1.4497,              0.0005743,              0.0005743,              0.0005743
                    131,                0.86722,                 0.6238,                 1.2094,                  0.879,                0.81468,                0.89893,                0.61657,                 1.1053,                0.70312,                 1.4623,               0.000571,               0.000571,               0.000571
                    132,                 0.8705,                0.63395,                 1.2058,                0.87623,                0.83281,                0.89876,                 0.6185,                 1.1141,                0.68436,                 1.4623,              0.0005677,              0.0005677,              0.0005677
                    133,                0.86135,                0.63099,                 1.2024,                0.87214,                0.81727,                 0.8942,                0.61393,                 1.0784,                0.72702,                 1.4396,              0.0005644,              0.0005644,              0.0005644
                    134,                0.88508,                0.64018,                 1.2212,                0.86404,                0.85922,                0.90438,                 0.6241,                 1.0883,                0.69921,                 1.4393,              0.0005611,              0.0005611,              0.0005611
                    135,                0.86698,                0.63466,                 1.2053,                0.90137,                0.81777,                 0.9015,                0.62445,                 1.0949,                0.69225,                 1.4507,              0.0005578,              0.0005578,              0.0005578
                    136,                0.86957,                0.62567,                 1.1992,                0.88609,                0.80989,                0.90319,                0.62468,                 1.0985,                0.71413,                 1.4366,              0.0005545,              0.0005545,              0.0005545
                    137,                0.85945,                0.62193,                 1.1972,                0.87507,                0.83512,                0.90515,                0.62768,                 1.0926,                0.70237,                 1.4458,              0.0005512,              0.0005512,              0.0005512
                    138,                0.85065,                0.61899,                 1.1941,                 0.8951,                0.82841,                0.91007,                0.62819,                 1.0886,                0.67557,                 1.4481,              0.0005479,              0.0005479,              0.0005479
                    139,                0.87378,                 0.6345,                 1.2071,                0.89938,                0.83266,                0.91622,                0.63928,                 1.0892,                0.63485,                 1.4581,              0.0005446,              0.0005446,              0.0005446
                    140,                0.87196,                 0.6323,                 1.2065,                0.85931,                0.83638,                0.90521,                 0.6288,                 1.0823,                0.68494,                 1.4361,              0.0005413,              0.0005413,              0.0005413
                    141,                0.86275,                0.61767,                 1.2001,                0.86954,                0.83667,                0.89753,                0.62433,                 1.0881,                0.68809,                 1.4388,               0.000538,               0.000538,               0.000538
                    142,                0.85474,                0.61604,                 1.2027,                0.87091,                0.82194,                0.89639,                0.62926,                 1.0862,                0.70585,                 1.4379,              0.0005347,              0.0005347,              0.0005347
                    143,                0.85496,                0.61829,                 1.1915,                0.86482,                0.83097,                 0.8934,                0.62463,                 1.0767,                0.70311,                 1.4444,              0.0005314,              0.0005314,              0.0005314
                    144,                0.85866,                0.61171,                 1.1963,                0.87008,                0.83743,                0.89516,                0.61898,                 1.0873,                0.69474,                 1.4436,              0.0005281,              0.0005281,              0.0005281
                    145,                0.85428,                0.61131,                 1.1939,                0.89041,                0.82327,                0.89867,                0.62745,                 1.0699,                0.69543,                 1.4293,              0.0005248,              0.0005248,              0.0005248
                    146,                0.84728,                 0.5987,                 1.1863,                 0.8857,                0.81751,                0.89823,                0.62515,                 1.0817,                0.69544,                 1.4243,              0.0005215,              0.0005215,              0.0005215
                    147,                0.83773,                 0.6112,                 1.1826,                0.88443,                 0.8222,                0.90061,                0.63748,                  1.067,                 0.6786,                 1.4246,              0.0005182,              0.0005182,              0.0005182
                    148,                0.83983,                0.59364,                 1.1828,                0.88263,                0.81645,                0.89783,                0.62449,                 1.0941,                 0.7029,                 1.4567,              0.0005149,              0.0005149,              0.0005149
                    149,                0.83789,                0.60141,                 1.1815,                0.87597,                   0.82,                    0.9,                0.63883,                 1.0777,                0.69226,                 1.4409,              0.0005116,              0.0005116,              0.0005116
                    150,                0.84084,                0.60372,                 1.1936,                0.87217,                 0.8238,                0.89414,                0.62972,                  1.096,                0.70582,                 1.4572,              0.0005083,              0.0005083,              0.0005083
